"","value","Year","IZCode","IZName","CPP","Indicator","Type"
"270",6.4,"2011/12-2013/14","S02001573","Lower Whitecraigs and South Giffnock","East Renfrewshire","Attainment","Raw"
"271",6.28,"2011/12-2013/14","S02001572","Merrylee and Braidbar","East Renfrewshire","Attainment","Raw"
"272",6.02,"2011/12-2013/14","S02001575","South Thornliebank and Woodfarm","East Renfrewshire","Attainment","Raw"
"273",6.15,"2011/12-2013/14","S02001574","North Giffnock and North Thornliebank","East Renfrewshire","Attainment","Raw"
"274",6.32,"2011/12-2013/14","S02001569","Williamwood","East Renfrewshire","Attainment","Raw"
"275",6.36,"2011/12-2013/14","S02001568","Clarkston and Sheddens","East Renfrewshire","Attainment","Raw"
"276",6.28,"2011/12-2013/14","S02001571","Netherlee","East Renfrewshire","Attainment","Raw"
"277",6.23,"2011/12-2013/14","S02001570","Stamperland","East Renfrewshire","Attainment","Raw"
"278",6.03,"2011/12-2013/14","S02001581","Colinton and Kingsknowe","Edinburgh, City of","Attainment","Raw"
"279",6.4,"2011/12-2013/14","S02001580","Bonaly and The Pentlands","Edinburgh, City of","Attainment","Raw"
"280",4.92,"2011/12-2013/14","S02001583","The Calders","Edinburgh, City of","Attainment","Raw"
"281",4.68,"2011/12-2013/14","S02001582","Clovenstone and Wester Hailes","Edinburgh, City of","Attainment","Raw"
"282",5.8,"2011/12-2013/14","S02001577","Currie West","Edinburgh, City of","Attainment","Raw"
"283",5.98,"2011/12-2013/14","S02001576","Balerno and Bonnington Village","Edinburgh, City of","Attainment","Raw"
