"","CPP","Year","value","Indicator","Type"
"224","Renfrewshire",2020,62941,"Out of Work Benefits","Raw"
"225","Renfrewshire",2021,62816,"Out of Work Benefits","Raw"
"226","Scottish Borders",2013,39854,"Out of Work Benefits","Raw"
"227","Scottish Borders",2014,39679,"Out of Work Benefits","Raw"
"228","Scottish Borders",2015,39345,"Out of Work Benefits","Raw"
"229","Scottish Borders",2016,39543,"Out of Work Benefits","Raw"
"230","Scottish Borders",2017,39399,"Out of Work Benefits","Raw"
"231","Scottish Borders",2018,39260,"Out of Work Benefits","Raw"
"232","Scottish Borders",2019,39395,"Out of Work Benefits","Raw"
"233","Scottish Borders",2020,42929,"Out of Work Benefits","Raw"
"234","Scottish Borders",2021,43246,"Out of Work Benefits","Raw"
"235","Shetland Islands",2013,6123,"Out of Work Benefits","Raw"
"236","Shetland Islands",2014,6019,"Out of Work Benefits","Raw"
"237","Shetland Islands",2015,6057,"Out of Work Benefits","Raw"
"238","Shetland Islands",2016,6140,"Out of Work Benefits","Raw"
"239","Shetland Islands",2017,6148,"Out of Work Benefits","Raw"
"240","Shetland Islands",2018,6142,"Out of Work Benefits","Raw"
"241","Shetland Islands",2019,6220,"Out of Work Benefits","Raw"
"242","Shetland Islands",2020,6714,"Out of Work Benefits","Raw"
"243","Shetland Islands",2021,6934,"Out of Work Benefits","Raw"
"244","South Ayrshire",2013,43066,"Out of Work Benefits","Raw"
"245","South Ayrshire",2014,42737,"Out of Work Benefits","Raw"
"246","South Ayrshire",2015,42286,"Out of Work Benefits","Raw"
"247","South Ayrshire",2016,42342,"Out of Work Benefits","Raw"
"248","South Ayrshire",2017,42198,"Out of Work Benefits","Raw"
"249","South Ayrshire",2018,41906,"Out of Work Benefits","Raw"
"250","South Ayrshire",2019,42434,"Out of Work Benefits","Raw"
"251","South Ayrshire",2020,45974,"Out of Work Benefits","Raw"
"252","South Ayrshire",2021,46057,"Out of Work Benefits","Raw"
"253","South Lanarkshire",2013,106014,"Out of Work Benefits","Raw"
"254","South Lanarkshire",2014,104859,"Out of Work Benefits","Raw"
"255","South Lanarkshire",2015,103888,"Out of Work Benefits","Raw"
"256","South Lanarkshire",2016,103496,"Out of Work Benefits","Raw"
"257","South Lanarkshire",2017,103419,"Out of Work Benefits","Raw"
"258","South Lanarkshire",2018,104091,"Out of Work Benefits","Raw"
"259","South Lanarkshire",2019,104718,"Out of Work Benefits","Raw"
"260","South Lanarkshire",2020,116333,"Out of Work Benefits","Raw"
"261","South Lanarkshire",2021,115817,"Out of Work Benefits","Raw"
"262","Stirling",2013,26810,"Out of Work Benefits","Raw"
"263","Stirling",2014,26562,"Out of Work Benefits","Raw"
"264","Stirling",2015,26202,"Out of Work Benefits","Raw"
"265","Stirling",2016,26230,"Out of Work Benefits","Raw"
"266","Stirling",2017,26204,"Out of Work Benefits","Raw"
"267","Stirling",2018,26649,"Out of Work Benefits","Raw"
"268","Stirling",2019,26570,"Out of Work Benefits","Raw"
"269","Stirling",2020,29295,"Out of Work Benefits","Raw"
"270","Stirling",2021,29031,"Out of Work Benefits","Raw"
"271","Total",2013,1728561,"Out of Work Benefits","Raw"
"272","Total",2014,1707112,"Out of Work Benefits","Raw"
"273","Total",2015,1692778,"Out of Work Benefits","Raw"
"274","Total",2016,1695131,"Out of Work Benefits","Raw"
"275","Total",2017,1690922,"Out of Work Benefits","Raw"
"276","Total",2018,1685537,"Out of Work Benefits","Raw"
"277","Total",2019,1690596,"Out of Work Benefits","Raw"
"278","Total",2020,1875423,"Out of Work Benefits","Raw"
"279","Total",2021,1884556,"Out of Work Benefits","Raw"
"280","West Dunbartonshire",2013,33702,"Out of Work Benefits","Raw"
"281","West Dunbartonshire",2014,33021,"Out of Work Benefits","Raw"
"282","West Dunbartonshire",2015,32626,"Out of Work Benefits","Raw"
"283","West Dunbartonshire",2016,32630,"Out of Work Benefits","Raw"
"284","West Dunbartonshire",2017,32268,"Out of Work Benefits","Raw"
"285","West Dunbartonshire",2018,32005,"Out of Work Benefits","Raw"
"286","West Dunbartonshire",2019,31794,"Out of Work Benefits","Raw"
"287","West Dunbartonshire",2020,35295,"Out of Work Benefits","Raw"
"288","West Dunbartonshire",2021,35314,"Out of Work Benefits","Raw"
"289","West Lothian",2013,52215,"Out of Work Benefits","Raw"
"290","West Lothian",2014,51947,"Out of Work Benefits","Raw"
"291","West Lothian",2015,51586,"Out of Work Benefits","Raw"
"292","West Lothian",2016,51948,"Out of Work Benefits","Raw"
"293","West Lothian",2017,52084,"Out of Work Benefits","Raw"
"294","West Lothian",2018,51900,"Out of Work Benefits","Raw"
"295","West Lothian",2019,52796,"Out of Work Benefits","Raw"
"296","West Lothian",2020,59199,"Out of Work Benefits","Raw"
"297","West Lothian",2021,59577,"Out of Work Benefits","Raw"
