"","FinancialYear","CA","AllLiveBirths","AppropriateWeightCount","AppropriateWeightProportion"
"347","2018/19","S12000042",1385,1245,89.8916967509025
"348","2018/19","S12000045",898,817,90.9799554565702
"349","2018/19","S12000047",3306,2986,90.3206291591047
"350","2018/19","S12000048",1115,1010,90.5829596412556
"351","2018/19","S12000049",6404,5802,90.5996252342286
"352","2018/19","S12000050",3258,2915,89.4720687538367
"353","2019/20","S12000005",411,380,92.4574209245742
"354","2019/20","S12000006",1091,981,89.9175068744271
"355","2019/20","S12000008",1117,1003,89.7940913160251
"356","2019/20","S12000010",901,807,89.5671476137625
"357","2019/20","S12000011",780,686,87.9487179487179
"358","2019/20","S12000013",187,165,88.2352941176471
"359","2019/20","S12000014",1354,1211,89.4387001477105
"360","2019/20","S12000017",1869,1690,90.4226859283039
"361","2019/20","S12000018",603,550,91.2106135986733
"362","2019/20","S12000019",975,878,90.0512820512821
"363","2019/20","S12000020",827,755,91.2938331318017
"364","2019/20","S12000021",1100,984,89.4545454545455
"365","2019/20","S12000023",169,149,88.1656804733728
"366","2019/20","S12000026",820,732,89.2682926829268
"367","2019/20","S12000027",187,159,85.0267379679144
"368","2019/20","S12000028",838,755,90.0954653937948
"369","2019/20","S12000029",2963,2666,89.9763752953088
"370","2019/20","S12000030",697,629,90.2439024390244
"371","2019/20","S12000033",2235,2056,91.9910514541387
"372","2019/20","S12000034",2144,1935,90.2518656716418
"373","2019/20","S12000035",577,517,89.6013864818024
"374","2019/20","S12000036",4430,3995,90.1805869074492
"375","2019/20","S12000038",1631,1484,90.9871244635193
"376","2019/20","S12000039",807,739,91.5737298636927
"377","2019/20","S12000040",1626,1441,88.6223862238622
"378","2019/20","S12000041",902,799,88.5809312638581
"379","2019/20","S12000042",1338,1202,89.8355754857997
"380","2019/20","S12000045",860,762,88.6046511627907
"381","2019/20","S12000047",3091,2772,89.6797153024911
"382","2019/20","S12000048",1141,1014,88.8694127957932
"383","2019/20","S12000049",6171,5578,90.3905363798412
"384","2019/20","S12000050",3230,2923,90.4953560371517
"385","2020/21","S12000005",450,396,88
